Month,Equity_Market_Neutral,Equity_Long_Short,Fixed_Income_Arbitrage,Macro,Managed_Futures,Credit,Mergers_Special_Situations,Multi_Strategy
2020-01-01,-0.008740442816110132,0.02216265925271569,-0.005829329562810022,-0.01088105468056991,0.01957539326932309,0.006881040187631723,0.039047376791697695,-0.009766464015391123
2020-02-01,-0.005194275396603132,-0.006733567290748026,-0.002715913731423914,-0.015393435141557534,0.03033701458172467,0.013918788484092288,0.021190674877020886,-0.02721060616132367
2020-03-01,0.03258369325001145,-0.01142984514697738,0.027569318674552867,-0.020942154618483852,0.022304361289813276,0.04468650392638638,0.021489419000112246,0.01207658555016729
2020-04-01,0.00558068043600578,0.0020944581526324444,-0.008902622442530886,-0.024901262907165187,0.06041434471438989,0.013484369330774282,-0.03264426134827222,-0.028451662641093493
2020-05-01,0.0019147164580590138,0.0613104547042068,0.0018239638400439346,-0.01030924091094301,0.052892994610298734,0.026659009586134187,0.03592554865573952,0.007711137036510666
2020-06-01,0.038089773721883144,0.005697559597060516,0.0341178237091883,0.011817631141785944,0.013538911793184012,0.031621077303425685,0.0024310534349161026,0.013793949935086251
2020-07-01,0.01825291852850351,0.02487854026175461,0.007297159090986705,-0.04239173621966082,0.04777739125639391,0.033835755184686934,-0.010271895717617196,0.015056237924730423
2020-08-01,-0.017406389459794103,0.01291999961826875,-0.014267894648222234,0.002421163590375131,-0.023507690491139224,-0.003580162911924511,-0.032403081414527794,0.02298817870907676
2020-09-01,-0.019296112413386923,-0.012093373163169604,-0.005998330993933156,0.037001108878489286,0.04764122087906067,0.03164859702251946,-0.005497849104494073,-0.015849271352446806
2020-10-01,-0.02121000316501786,0.0025635042835102026,0.012082066584179856,0.06393957223170874,0.012291966320374648,0.006084402065552892,-0.010850929526659439,0.020774888962351908
2020-11-01,0.02369954045624495,0.05035215408205276,9.741635833713843e-4,0.05091731425135643,0.0901871106055142,-0.0018256003780825775,-0.005463891936319732,0.047153407195258325
